n_estimators,max_depth,min_samples_split,min_samples_leaf,bootstrap,random_state,min_impurity_decrease,validation_loss,mee
50,4,2,1,True,1,1.0,3.3652437752398243,2.137055302383561
50,4,2,1,True,2,1.0,3.4890659855038324,2.1665218180329147
100,4,2,1,True,1,1.0,3.4618589542388096,2.15567479896302
100,4,2,1,True,2,1.0,3.426664747279439,2.1530647555753673
1000,4,2,1,True,1,1.0,3.3798261146989015,2.1372144541281397
1000,4,2,1,True,2,1.0,3.331813572807303,2.1213354370255204
10,4,3,1,True,1,1.0,3.4806661432443393,2.163306732182293
10,4,3,1,True,2,1.0,3.706558872850854,2.211769143549046
50,4,3,1,True,1,1.0,3.3652437752398243,2.137055302383561
50,4,3,1,True,2,1.0,3.4890659855038324,2.1665218180329147
100,4,3,1,True,1,1.0,3.4618589542388096,2.15567479896302
100,4,3,1,True,2,1.0,3.426664747279439,2.1530647555753673
1000,4,3,1,True,1,1.0,3.3798261146989015,2.1372144541281397
1000,4,3,1,True,2,1.0,3.331813572807303,2.1213354370255204
10,4,4,1,True,1,1.0,3.4806661432443393,2.163306732182293
10,4,4,1,True,2,1.0,3.706558872850854,2.211769143549046
50,4,4,1,True,1,1.0,3.3652437752398243,2.137055302383561
50,4,4,1,True,2,1.0,3.4890659855038324,2.1665218180329147
100,4,4,1,True,1,1.0,3.4618589542388096,2.15567479896302
100,4,4,1,True,2,1.0,3.426664747279439,2.1530647555753673
1000,4,4,1,True,1,1.0,3.3798261146989015,2.1372144541281397
1000,4,4,1,True,2,1.0,3.331813572807303,2.1213354370255204
10,4,2,2,True,1,1.0,3.4806661432443393,2.163306732182293
10,4,2,2,True,2,1.0,3.706558872850854,2.211769143549046
50,4,2,2,True,1,1.0,3.3652437752398243,2.137055302383561
50,4,2,2,True,2,1.0,3.4890659855038324,2.1665218180329147
100,4,2,2,True,1,1.0,3.4618589542388096,2.15567479896302
100,4,2,2,True,2,1.0,3.426664747279439,2.1530647555753673
1000,4,2,2,True,1,1.0,3.3798261146989015,2.1372144541281397
1000,4,2,2,True,2,1.0,3.331813572807303,2.1213354370255204
10,4,3,2,True,1,1.0,3.4806661432443393,2.163306732182293
10,4,3,2,True,2,1.0,3.706558872850854,2.211769143549046
50,4,3,2,True,1,1.0,3.3652437752398243,2.137055302383561
50,4,3,2,True,2,1.0,3.4890659855038324,2.1665218180329147
100,4,3,2,True,1,1.0,3.4618589542388096,2.15567479896302
100,4,3,2,True,2,1.0,3.426664747279439,2.1530647555753673
1000,4,3,2,True,1,1.0,3.3798261146989015,2.1372144541281397
1000,4,3,2,True,2,1.0,3.331813572807303,2.1213354370255204
10,4,4,2,True,1,1.0,3.4806661432443393,2.163306732182293
10,4,4,2,True,2,1.0,3.706558872850854,2.211769143549046
50,4,4,2,True,1,1.0,3.3652437752398243,2.137055302383561
50,4,4,2,True,2,1.0,3.4890659855038324,2.1665218180329147
100,4,4,2,True,1,1.0,3.4618589542388096,2.15567479896302
